GPSC;count;genes;core>=99;softcore>=95<99;shell>=15<95;cloud<15
All;13454;27044;634;234;1957;24219
1;504;6612;1092;314;904;4302
2;782;5975;1194;326;797;3658
3;358;6214;963;304;1125;3822
4;203;5913;1022;388;899;3604
5;453;8196;945;403;1250;5598
6;393;6886;1049;520;692;4625
7;166;5227;987;343;1116;2781
8;390;5669;1125;359;800;3385
9;277;7237;891;474;1026;4846
10;287;6103;974;439;875;3815
11;228;6817;863;282;1338;4334
12;205;4315;1166;203;884;2062
13;351;7635;871;340;1455;4969
14;338;6297;1037;393;1021;3846
15;164;3777;1231;359;408;1779
16;231;6229;990;356;1102;3781
17;320;6534;981;428;1026;4099
18;228;6073;1038;331;1007;3697
19;118;4474;1213;355;624;2282
20;92;4030;1123;521;699;1687
21;242;6862;978;542;943;4399
22;240;6376;1004;304;1221;3847
23;180;6399;880;373;1387;3759
24;86;4858;993;424;993;2448
25;112;3963;1378;272;604;1709
26;195;5055;1071;514;642;2828
27;118;5140;1094;332;969;2745
30;120;5101;1078;317;1181;2525
31;111;3577;1389;177;804;1207
32;124;4267;1065;265;992;1945
33;170;4972;1110;370;860;2632
34;151;4951;1065;283;1040;2563
37;148;5854;919;333;1310;3292
38;92;4392;1062;412;841;2077
39;67;4775;1143;362;742;2528
40;112;5079;1073;215;1190;2601
41;125;4663;1151;384;679;2449
43;111;4906;1137;145;1363;2261
47;101;5236;1083;362;1207;2584
48;83;4035;1134;445;706;1750
50;61;4461;1056;348;933;2124
51;94;3552;1101;549;463;1439
52;100;4784;1100;293;1000;2391
53;99;4974;948;530;1128;2368
54;97;4513;928;446;1128;2011
55;90;2579;1584;293;146;556
56;92;4409;888;417;937;2167
57;56;3854;964;300;996;1594
58;88;3684;1108;342;864;1370
61;71;4438;944;279;1170;2045
62;79;4381;1085;353;1209;1734
65;73;3545;1428;331;545;1241
67;61;3858;1236;316;820;1486
68;66;4437;949;428;1044;2016
70;62;3008;1318;241;567;882
72;57;3490;1260;244;735;1251
76;37;4259;1145;216;1295;1603
77;56;4320;1002;462;950;1906
78;55;3280;1389;215;720;956
79;52;3892;1103;426;712;1651
80;50;3295;1357;237;644;1057
81;38;3509;1146;275;997;1091
90;39;4345;1044;168;1436;1697
91;27;3668;1274;116;995;1283
93;38;3363;1388;214;682;1079
94;37;3615;1259;255;878;1223
97;23;3031;1378;183;780;690
103;32;3252;1414;189;829;820
105;30;3486;1330;150;890;1116
108;29;3010;1554;165;597;694
115;26;3434;1356;170;998;910
117;26;3004;1456;95;851;602
131;22;3017;1309;208;742;758